host,hop_index,rtt_ms,increment_ms
speedtest.kamel.network,1,0.582,0.582
speedtest.kamel.network,2,0.000,0.000
speedtest.kamel.network,3,0.000,0.000
speedtest.kamel.network,4,0.872,0.290
speedtest.kamel.network,5,0.648,0.000
speedtest.kamel.network,6,0.426,0.000
speedtest.kamel.network,7,0.769,0.343
speedtest.kamel.network,8,0.000,0.000
speedtest.kamel.network,9,2.691,1.922
speedtest.kamel.network,10,0.000,0.000
speedtest.kamel.network,11,21.940,19.249
speedtest.kamel.network,12,23.541,1.601
speedtest.kamel.network,13,0.000,0.000
speedtest.kamel.network,14,0.000,0.000
speedtest.kamel.network,15,0.000,0.000
speedtest.kamel.network,16,107.502,83.961
speedtest.keff.org,1,2.849,2.849
speedtest.keff.org,2,0.000,0.000
speedtest.keff.org,3,0.000,0.000
speedtest.keff.org,4,0.715,0.000
speedtest.keff.org,5,0.736,0.021
speedtest.keff.org,6,0.413,0.000
speedtest.keff.org,7,1.063,0.650
speedtest.keff.org,8,0.000,0.000
speedtest.keff.org,9,2.899,1.836
speedtest.keff.org,10,2.970,0.071
speedtest.keff.org,11,24.804,21.834
speedtest.keff.org,12,0.000,0.000
speedtest.keff.org,13,87.189,62.385
speedtest.keff.org,14,87.125,0.000
speedtest.keff.org,15,112.655,25.530
speedtest.keff.org,16,0.000,0.000
speedtest.keff.org,17,0.000,0.000
speedtest.keff.org,18,112.756,0.101
speedtest.keff.org,19,113.057,0.301
lg.gigahost.no,1,0.551,0.551
lg.gigahost.no,2,0.000,0.000
lg.gigahost.no,3,0.000,0.000
lg.gigahost.no,4,1.089,0.538
lg.gigahost.no,5,0.905,0.000
lg.gigahost.no,6,0.436,0.000
lg.gigahost.no,7,0.427,0.000
lg.gigahost.no,8,0.000,0.000
lg.gigahost.no,9,0.000,0.000
lg.gigahost.no,10,6.045,5.618
lg.gigahost.no,11,5.842,0.000
lg.gigahost.no,12,5.681,0.000
lg.gigahost.no,13,5.689,0.008
lg.gigahost.no,14,0.000,0.000
lg.gigahost.no,15,0.000,0.000
lg.gigahost.no,16,0.000,0.000
lg.gigahost.no,17,0.000,0.000
lg.gigahost.no,18,0.000,0.000
lg.gigahost.no,19,130.030,124.341
lg.gigahost.no,20,108.488,0.000
lg.gigahost.no,21,111.259,2.771
speedtest.sfo12.us.leaseweb.net,1,0.525,0.525
speedtest.sfo12.us.leaseweb.net,2,0.000,0.000
speedtest.sfo12.us.leaseweb.net,3,0.000,0.000
speedtest.sfo12.us.leaseweb.net,4,0.839,0.314
speedtest.sfo12.us.leaseweb.net,5,0.673,0.000
speedtest.sfo12.us.leaseweb.net,6,0.432,0.000
speedtest.sfo12.us.leaseweb.net,7,0.475,0.043
speedtest.sfo12.us.leaseweb.net,8,0.816,0.341
speedtest.sfo12.us.leaseweb.net,9,0.000,0.000
speedtest.sfo12.us.leaseweb.net,10,0.000,0.000
speedtest.sfo12.us.leaseweb.net,11,3.146,2.330
speedtest.sfo12.us.leaseweb.net,12,3.081,0.000
speedtest.sfo12.us.leaseweb.net,13,7.298,4.217
speedtest.sfo12.us.leaseweb.net,14,7.354,0.056
speedtest.sfo12.us.leaseweb.net,15,0.000,0.000
speedtest.sfo12.us.leaseweb.net,16,26.172,18.818
speedtest.sfo12.us.leaseweb.net,17,0.000,0.000
speedtest.sfo12.us.leaseweb.net,18,53.329,27.157
speedtest.sfo12.us.leaseweb.net,19,52.436,0.000
speedtest.sfo12.us.leaseweb.net,20,52.631,0.195
speedtest.sfo12.us.leaseweb.net,21,53.538,0.907
speedtest.sfo12.us.leaseweb.net,22,53.377,0.000
speedtest.sfo12.us.leaseweb.net,23,52.756,0.000
atl.speedtest.clouvider.net,1,0.658,0.658
atl.speedtest.clouvider.net,2,0.000,0.000
atl.speedtest.clouvider.net,3,0.000,0.000
atl.speedtest.clouvider.net,4,0.696,0.038
atl.speedtest.clouvider.net,5,0.701,0.005
atl.speedtest.clouvider.net,6,0.386,0.000
atl.speedtest.clouvider.net,7,0.448,0.062
atl.speedtest.clouvider.net,8,1.039,0.591
atl.speedtest.clouvider.net,9,2.785,1.746
atl.speedtest.clouvider.net,10,0.000,0.000
atl.speedtest.clouvider.net,11,13.236,10.451
atl.speedtest.clouvider.net,12,12.808,0.000
atl.speedtest.clouvider.net,13,19.014,6.206
atl.speedtest.clouvider.net,14,12.387,0.000
