timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.23,0.31,225.30,0,17
0.46,1.12,226.59,0,40
0.69,1.03,225.41,0,60
0.92,3.15,226.22,0,123
1.15,3.08,227.97,0,183
1.35,8.58,225.03,0,336
1.58,16.96,232.87,0,668
1.80,32.24,264.51,0,1289
2.01,55.31,293.42,0,2303
2.22,66.16,296.15,0,2625
2.43,64.16,340.24,0,2633
2.63,65.60,346.64,0,2633
2.90,58.06,334.60,0,2633
3.10,73.88,258.21,0,2633
3.32,64.57,285.30,0,2633
3.53,70.29,322.39,0,2633
3.73,65.28,338.63,0,2633
3.94,64.56,349.35,0,2633
4.16,64.23,352.99,0,2633
4.36,66.11,342.87,0,2633
4.57,64.75,338.12,0,2633
4.79,63.91,351.75,0,2633
5.00,63.46,351.99,0,2633
5.22,63.73,351.11,0,2633
5.43,64.53,345.92,0,2633
5.63,66.58,338.68,0,2633
5.84,66.75,338.56,0,2633
6.04,62.99,348.74,0,2633
6.24,62.85,358.72,0,2633
6.45,68.93,331.15,0,2633
6.65,62.99,346.96,0,2633
6.87,60.34,362.55,0,2633
7.08,64.18,370.06,0,2633
7.30,60.95,357.78,0,2633
7.54,54.16,349.42,0,2633
7.76,78.00,238.71,0,2633
7.97,70.32,260.00,0,2633
8.18,64.73,318.09,0,2633
8.39,66.65,328.68,0,2633
8.60,63.55,347.87,0,2633
8.80,63.53,352.16,0,2633
9.01,63.57,350.14,0,2633
9.22,63.79,355.64,0,2633
9.43,66.70,338.19,0,2633
9.64,65.07,340.83,0,2633
9.85,64.11,347.29,0,2633
