timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.23,0.41,224.10,0,17
0.67,0.70,223.85,0,44
0.90,1.95,225.59,0,82
1.13,3.86,227.71,0,158
1.36,10.84,226.02,0,377
1.60,14.41,231.14,0,671
1.82,27.21,230.18,0,1200
2.03,58.33,309.36,0,2240
2.24,62.90,286.03,0,3367
2.44,67.11,344.07,0,4545
2.69,58.31,386.03,0,5816
2.98,73.26,307.55,0,7641
3.23,65.94,274.72,0,9076
3.45,65.93,268.46,0,10278
3.66,74.37,310.24,0,11627
3.86,66.33,311.44,0,12781
4.06,66.73,335.59,0,13964
4.27,65.39,340.51,0,15135
4.48,65.96,338.69,0,16312
4.69,68.58,330.82,0,17548
4.89,65.33,327.56,0,18702
5.10,63.58,350.45,0,19843
5.31,63.48,354.52,0,21017
5.51,63.06,349.59,0,22116
5.72,66.51,346.59,0,23280
5.93,69.35,331.90,0,24550
6.14,64.84,331.96,0,25725
6.35,65.50,342.52,0,26905
6.55,62.94,350.10,0,27995
6.76,63.54,358.78,0,29169
6.97,65.58,343.71,0,30343
7.18,65.69,344.16,0,31518
7.38,67.73,338.86,0,32695
7.59,64.64,338.24,0,33875
7.79,67.70,337.45,0,35067
8.00,67.08,335.35,0,36241
8.23,64.02,358.22,0,37537
8.45,64.17,367.70,0,38755
8.66,58.45,357.66,0,39809
8.87,72.18,320.81,0,41140
9.08,69.41,306.99,0,42405
9.30,65.45,337.25,0,43623
9.50,67.90,332.32,0,44826
9.71,67.21,328.20,0,46007
9.91,67.61,335.20,0,47185
