timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.20,18.18,41.78,0,329
0.42,102.21,65.29,0,1564
0.63,116.29,85.79,0,1996
0.83,127.04,84.97,0,3045
1.08,118.59,116.72,0,3045
1.29,151.01,70.35,0,3045
1.49,123.97,66.88,0,3215
1.70,124.51,75.79,0,3215
1.93,115.97,84.22,0,3215
2.13,120.77,68.75,0,3215
2.35,114.38,74.52,0,3215
2.56,128.09,70.28,0,3439
2.77,131.89,71.03,0,3439
2.99,79.32,85.19,0,3439
3.20,116.94,97.61,0,3439
3.43,107.99,117.38,0,3439
3.64,129.20,70.48,0,3439
3.86,114.91,84.54,0,3439
4.06,122.52,77.92,0,3439
4.31,70.73,175.16,0,3439
4.59,96.31,202.83,0,3851
4.91,76.17,302.17,0,3970
5.11,151.95,144.18,0,3970
5.35,39.42,284.87,0,3970
5.61,77.58,310.30,0,3970
5.93,89.72,211.73,0,3982
6.14,176.67,68.48,0,3982
6.35,120.41,71.51,0,3982
6.56,117.06,71.31,0,3982
6.78,125.39,70.42,0,3982
6.98,121.27,82.27,0,3982
7.19,119.55,66.84,0,3982
7.42,106.97,103.20,0,3982
7.65,114.48,125.27,0,3982
7.85,135.89,85.61,0,3982
8.09,118.31,93.14,0,3982
8.32,128.58,102.05,0,3982
8.56,109.44,124.01,0,3982
8.77,153.23,62.45,0,3982
8.97,113.11,65.55,0,3982
9.18,98.86,110.64,0,3982
9.39,122.57,75.67,0,3982
9.61,117.26,69.83,0,3982
9.84,122.19,85.36,0,3982
