timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.23,0.31,225.93,0,17
0.46,1.14,225.51,0,40
0.70,1.05,228.12,0,62
0.93,2.44,226.41,0,110
1.16,3.62,229.62,0,180
1.38,8.50,226.61,0,347
1.61,16.50,229.51,0,664
1.83,33.12,242.42,0,1294
2.04,59.70,303.64,0,2388
2.25,69.26,298.79,0,3645
2.45,67.16,332.01,0,3967
2.66,69.92,322.44,0,3973
2.86,66.66,324.76,0,3973
3.07,68.43,339.31,0,3973
3.28,62.86,345.19,0,3973
3.49,68.61,338.42,0,3973
3.70,68.47,323.18,0,3973
3.90,66.07,333.55,0,3973
4.11,65.73,334.84,0,3973
4.32,65.03,339.35,0,3973
4.52,66.25,340.14,0,3973
4.75,69.37,346.18,0,3973
4.97,63.78,347.24,0,3973
5.17,66.86,336.99,0,3973
5.37,70.58,264.58,0,3973
5.57,62.97,308.01,0,3977
5.79,66.59,345.03,0,3977
5.99,64.93,351.05,0,3977
6.19,62.55,348.93,0,3977
6.40,64.31,350.43,0,3977
6.62,63.70,351.20,0,3977
6.82,67.91,340.40,0,3977
7.03,69.44,328.32,0,3977
7.23,63.70,337.62,0,3977
7.43,65.24,351.65,0,3977
7.65,64.89,349.20,0,3977
7.86,65.15,346.25,0,3977
8.07,64.48,345.89,0,3977
8.27,62.58,352.05,0,3977
8.48,69.04,336.06,0,3977
8.68,66.21,342.69,0,3977
8.89,62.43,352.69,0,3977
9.09,65.02,344.87,0,3977
9.30,67.98,334.54,0,3977
9.50,62.24,353.70,0,3977
9.71,65.91,352.52,0,3977
9.92,63.83,348.49,0,3977
