timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.20,2.67,68.18,0,58
0.41,18.77,69.74,0,388
0.69,48.55,184.43,0,1294
0.92,81.60,176.39,0,1365
1.15,133.28,80.11,0,1426
1.36,81.84,98.18,0,1426
1.56,117.71,85.68,0,1426
1.77,119.00,88.26,0,1426
1.97,119.43,84.60,0,1426
2.18,114.10,75.38,0,1426
2.38,120.10,80.92,0,1426
2.58,120.75,82.46,0,1426
2.79,108.20,85.35,0,1426
3.01,130.96,92.80,0,1426
3.28,89.08,145.96,0,1426
3.50,142.57,73.21,0,1426
3.71,109.79,87.68,0,1426
3.91,125.88,83.01,0,1426
4.12,122.79,82.99,0,1426
4.32,121.70,83.82,0,1426
4.57,88.77,145.31,0,1426
4.77,147.88,82.34,0,1427
4.98,115.66,72.80,0,1427
5.19,117.55,82.27,0,1427
5.42,116.84,89.45,0,1427
5.62,125.43,85.86,0,1427
5.84,28.62,251.27,0,1429
6.06,125.05,75.30,0,1432
6.26,112.49,73.42,0,1432
6.48,110.45,94.76,0,1432
6.69,130.84,74.00,0,1432
6.91,119.85,74.46,0,1432
7.12,124.33,86.41,0,1432
7.33,122.97,70.92,0,1432
7.54,108.99,78.34,0,1432
7.75,121.98,75.98,0,1432
7.95,106.60,88.98,0,1432
8.16,111.60,84.73,0,1432
8.36,111.76,84.95,0,1432
8.59,117.27,93.42,0,1432
8.80,91.90,123.61,0,1438
9.00,138.46,83.40,0,1475
9.20,107.71,86.47,0,1475
9.42,110.95,81.02,0,1475
9.65,96.58,94.88,0,1475
9.85,129.69,84.85,0,1475
