timestamp_s,goodput_mbps,rtt_ms,retransmits,cwnd
0.25,1.17,115.72,0,36
0.47,3.41,114.62,0,101
0.70,12.61,117.60,0,349
0.91,48.70,127.67,0,1256
1.28,44.28,297.04,0,2657
1.50,108.68,200.72,0,4763
1.78,49.27,366.46,0,5932
1.99,106.24,141.24,0,7885
2.20,100.56,161.20,0,9663
2.41,106.45,158.75,0,11608
2.61,95.88,177.42,0,13309
2.82,122.96,179.28,0,15483
3.06,119.73,124.02,1,12177
3.33,42.63,208.30,0,12177
3.53,135.72,149.27,0,12177
3.74,105.86,166.82,0,12177
3.94,100.06,179.55,0,12177
4.15,126.19,155.18,0,12177
4.36,112.65,165.31,0,12177
4.56,106.76,168.30,0,12177
4.78,97.45,190.85,0,12177
5.05,128.43,166.61,0,12177
5.26,110.42,183.94,0,12177
5.54,88.70,230.57,0,12177
5.76,103.49,187.61,0,12177
6.02,41.87,316.17,0,12177
6.27,41.96,458.36,0,12177
6.47,140.07,168.99,0,12177
6.68,125.75,162.56,0,12177
6.88,110.20,144.82,0,12177
7.09,114.71,147.17,0,12177
7.35,105.80,176.55,0,12177
7.55,123.99,144.16,0,12177
7.79,93.06,194.93,0,12177
8.01,124.23,178.46,0,12177
8.23,120.10,154.04,0,12177
8.52,86.86,210.48,0,12177
8.78,112.92,200.83,0,12177
8.99,128.14,151.95,0,12177
9.23,84.37,192.68,0,12177
9.43,100.39,191.88,0,12177
9.67,97.58,183.77,0,12177
9.89,118.67,165.54,0,12177
